id,enjoyment1,enjoyment2,hope1,hope2,pride1,pride2,anger1,anger2,anxiety1,anxiety2,shame1,shame2,hopelessness1,hopelessness2,bordome1,bordome2,control1,control2,control3,control4,control5,value1,value2,value3,value4,value5,value6,ML1,ML2,ML3,ML4,ML5,ML1_pre,ML2_pre,ML3_pre,ML4_pre,ML5_pre
4221,5,5,5,5,5,5,1,1,1,2,1,1,1,1,1,1,5,5,1,1,1,1,5,1,5,5,5,5,5,3,4,5,5,5,5,5,5
4245,3,3,4,4,3,4,3,2,4,4,4,3,3,4,3,3,3,4,3,3,4,3,4,2,4,3,4,3,3,4,3,3,3,3,3,5,4
4217,5,5,5,5,1,5,1,3,1,3,3,1,3,1,1,1,1,5,1,1,5,1,5,5,5,,5,5,5,5,5,5,4,4,3,3,4
4235,3,4,3,4,1,3,1,4,3,3,2,1,3,2,1,1,4,5,3,4,4,2,2,3,5,4,3,3,4,3,4,4,2,3,2,1,2
4215,5,5,5,5,5,5,1,3,1,2,5,1,1,1,1,1,5,5,1,3,5,1,4,3,5,5,4,5,5,3,5,5,5,5,3,5,5
4230,5,5,5,5,5,5,1,3,1,3,1,1,1,1,1,1,5,5,1,5,1,1,5,1,5,5,5,5,5,5,5,5,4,4,4,4,5
4229,5,5,5,5,4,4,1,5,3,2,5,1,4,1,1,1,1,5,1,4,5,1,5,2,5,5,3,5,5,5,4,4,5,5,5,5,5
4212,4,5,5,4,3,5,1,3,2,1,1,3,3,5,3,1,5,2,5,4,5,4,5,4,4,3,3,5,5,4,4,4,5,4,3,4,5
4228,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
4204,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
4209,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
4205,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,3,5
4248,5,5,5,5,4,5,1,5,5,4,4,4,4,1,1,1,5,4,4,3,2,1,3,5,5,5,3,5,5,4,4,5,5,4,3,4,4
4234,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,3,5,3,3,5,5,5,3,5,4,4,4,4,4
4223,5,4,5,4,5,5,1,4,4,5,1,1,1,1,1,3,3,5,2,5,5,1,5,4,5,5,3,5,5,5,4,5,4,4,4,4,5
4236,5,5,5,4,3,4,1,3,2,4,2,4,2,2,1,2,3,5,3,2,2,1,3,1,5,4,5,5,5,5,5,5,5,5,4,5,5
4250,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,5,5,1,1,5,1,5,1,5,5,1,5,5,5,5,5,4,4,4,4,4
4257,5,5,5,5,5,5,1,1,1,1,5,1,1,1,1,1,5,5,1,5,5,1,5,1,5,5,5,5,5,5,5,5,4,5,5,5,5
4239,5,5,5,5,5,5,1,1,1,1,5,1,1,1,1,1,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,4,5,4,4,4
4249,5,5,5,5,5,5,1,3,,5,5,5,3,3,3,3,4,5,3,3,5,3,5,3,5,5,5,5,5,5,3,5,4,5,5,4,5
4237,5,5,5,5,4,5,1,5,3,4,5,5,3,1,1,1,5,5,1,3,1,1,5,4,5,3,3,5,5,3,5,3,4,4,2,4,4
4255,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,5,5,1,1,5,1,5,1,5,5,5,5,5,5,5,5,4,4,3,3,4
4232,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
4240,4,4,4,5,5,5,1,5,2,2,4,1,2,2,1,1,5,5,1,2,1,1,5,2,4,5,4,5,4,4,5,5,3,3,3,3,3
4246,5,5,4,5,5,5,1,1,1,1,1,1,1,1,2,1,5,5,1,4,4,1,5,2,5,5,4,5,5,4,5,5,4,3,3,3,5
4206,5,5,5,5,5,5,1,4,1,1,1,1,1,1,1,1,1,5,1,4,2,1,2,1,5,2,3,5,5,3,5,4,5,5,4,4,5
4251,5,5,5,5,5,5,1,2,5,5,5,1,5,1,1,1,5,5,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5
4214,5,5,4,5,5,4,1,1,1,1,2,1,1,1,1,1,5,5,1,5,5,2,5,2,5,5,4,5,5,5,4,5,5,5,3,3,5
4207,5,5,4,5,5,5,1,1,1,1,2,2,1,1,1,1,5,5,1,5,4,1,4,4,5,5,4,5,5,5,4,4,4,4,4,3,4
4244,5,5,5,5,4,5,4,3,4,2,2,2,2,1,1,2,3,4,3,5,2,1,4,4,5,5,2,4,5,5,4,5,2,3,4,3,2
4224,5,5,5,5,5,5,1,3,3,1,1,1,1,1,1,1,4,5,1,4,2,1,5,3,5,3,4,5,5,5,4,4,3,3,3,3,4
4202,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,1,5,3,5,5,5,5,5,5,5,5,3,5,5,2,4
4252,5,5,5,5,5,5,1,3,2,2,4,2,1,1,1,1,5,5,1,3,5,1,4,4,4,5,3,5,5,5,5,5,5,5,4,2,4
4218,5,5,5,5,5,5,1,5,5,5,5,1,5,1,1,1,5,5,1,5,1,1,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5
4201,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,5,5,1,4,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
4253,5,5,5,5,5,5,1,1,1,2,4,1,1,1,1,1,3,5,1,1,1,1,5,1,5,3,3,5,5,5,5,5,5,5,5,5,5
4238,5,5,5,5,5,5,1,5,1,2,1,1,1,1,1,1,5,5,1,5,4,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
4242,5,5,5,5,1,1,1,4,4,1,1,1,1,1,1,1,5,5,1,1,1,1,5,4,5,5,5,4,4,3,4,4,5,5,5,4,5
4226,5,5,5,5,5,1,2,1,5,1,1,1,1,1,1,1,5,5,1,5,1,1,5,1,5,5,1,5,5,5,5,5,4,5,5,2,5
4211,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,5,5,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
4219,4,5,3,5,2,4,1,2,1,1,1,2,1,1,1,1,2,4,1,3,2,1,5,3,5,2,3,5,5,5,2,5,5,5,5,5,5
